연도,시도명,시군구명,축제명,개최기간,주최/주관,최초개최년도,예산합계,국비,지방비,기타,축제종류,조직형태,방문객수합계,내국인,외국인,개최장소,개최방식
2023,경기도,양평군,제4회 양평부추축제,9.16.~9.17.,양평부추축제위원회,2016,120,0,120.0,0.0,특산물,축제추진위,20.0,20.0,0.0,양동면 석곡천일원,대면
2023,경기도,양평군,제3회 양강섬 예술축제 <페스티벌 다다>,10.중,양평문화재단,2020,90,0,90.0,0.0,문화예술,재단법인,226.0,226.0,0.0,양강섬 일대,대면
2023,경기도,동두천시,제35회 소요단풍문화제,10월중,동두천문화원,1985,70,0,70.0,0.0,문화예술,사단법인,1.0,0.0,1.0,소요산야외음악당,대면
2023,경기도,동두천시,제23회 동두천락페스티벌,9월중,동두천락페스티벌조직위원회,1999,250,0,250.0,0.0,문화예술,비영리민간단체,50.0,50.0,0.0,소요산 야외무대,대면
2023,경기도,동두천시,제4회 DDC 할로윈 거리예술 축제,10월말,(재)경기문화재단,2017,200,0,200.0,0.0,문화예술,재단법인,350.3,350.0,0.3,보산동 관광특구,대면
2023,경기도,과천시,과천축제,9.22.~9.24.,과천문화재단,1997,1400,0,1400.0,0.0,문화예술,재단법인,0.0,0.0,0.0,과천시 일원,대면
2023,경기도,가평군,자라섬 봄 꽃 축제,05.20.~06.09.,,2021,320,0,320.0,0.0,"생태자연, 특산물",,4.0,4.0,0.0,자라섬,대면
2023,경기도,가평군,자라섬 가을 꽃 축제,09.16.~10.13.,,2020,320,0,320.0,0.0,"생태자연, 특산물",,300.0,300.0,0.0,자라섬,대면
2023,경기도,가평군,청춘역1979 페스티벌,6.2~6.4.,,2023,250,0,250.0,0.0,문화예술,,0.0,0.0,0.0,청평면 청춘역1979,대면
2023,경기도,가평군,제20회 자라섬 재즈페스티벌,10.6.~10.8.,(사)문화현상,2004,800,0,800.0,0.0,문화예술,사단법인,170.1,170.0,0.1,자라섬,대면
2023,경기도,연천군,제30회 연천 구석기 축제,05.04.~05.07.,연천구석기축제추진위원회,1993,1013,30,983.0,0.0,전통역사,추진위원회,4.0,4.0,0.0,연천 전곡리 유적,대면
2023,경기도,연천군,2023 연천 거리문화축제,05.05.~05.07.,연천군관광협의회,2022,0,0,0.0,0.0,"문화예술, 전통역사, 주민화합",민간,170.0,170.0,0.0,전곡 전통시장 일원,대면
2023,경기도,연천군,연천 국화 전시회,10월 중,연천군농업기술센터,2016,251,0,251.0,0.0,생태자연,지자체,5.0,5.0,0.0,연천 전곡리 유적,대면
2023,경기도,연천군,제8회 연천장남 통일바라기축제,8~9월 중,장남면 주민자치위원회,2014,50,0,50.0,0.0,생태자연,축제추진위원회,1.0,1.0,0.0,장남면 호로고루 일원,대면
2023,경기도,연천군,제2회 연천 당포성 별빛 축제,10월 중,미산면 주최/미산면 주민자치위원회 주관,2022,50,0,50.0,0.0,"문화예술, 생태자연, 전통역사, 주민화합",주민자치위원회,521.0,521.0,0.0,미산면 동이리 당포성,대면
2023,경기도,연천군,연천율무축제(연천농특산물큰장터),10월 중,연천군농산물큰장터추진위원회,2008,290,0,290.0,0.0,특산물,추진위원회,69.0,69.0,0.0,연천 전곡리 유적,대면
2023,경기도,연천군,고려인삼축제,10월 중,연천군인삼연구회,2017,50,0,25.0,25.0,특산물,농업인단체,8.0,8.0,0.0,연천 전곡리 유적,대면
2023,강원도,춘천시,춘천호수 드론 라이트쇼,05.06.~07.31.,춘천시,2023,250,0,250.0,0.0,문화예술,공공,3.0,3.0,0.0,삼천동 392-3번지 일원 등 의암호 주변,대면
2023,강원도,춘천시,2023 춘천마임축제,05.28.~06.04.,(사)춘천마임축제,1989,659,30,609.0,20.0,문화예술,사단법인,8.1,8.0,0.1,"삼악산 케이블카 주차장, 축제극장 몸짓 등 ",대면
2023,강원도,춘천시,춘천막국수닭갈비축제,06.13.~06.18.,춘천막국수닭갈비축제 조직위원회,1996,550,0,550.0,0.0,특산물,축제조직위원회,6.0,5.0,1.0,삼천동 392-3번지 일원(삼악산 호수케이블카 임시주차장),대면
2023,강원도,춘천시,제35회 춘천인형극제,06.26.~12.24.,춘천인형극제,1998,500,0,500.0,0.0,문화예술,재단법인,2.2,2.0,0.2,춘천인형극장 및 춘천시내 일원,대면
2023,강원도,춘천시,춘천 토이페스티벌,9월 중,강원정보문화산업진흥원,2017,350,0,350.0,0.0,기타(관광),재단법인,35.3,35.0,0.3,서면 애니메이션박물관 일원,대면
2023,강원도,춘천시,소양강문화제,9월 중,춘천문화원,1966,150,0,150.0,0.0,문화예술,법정단체,1.0,1.0,0.0,"봉의산순의비, 공지천 야외무대",대면
2023,강원도,원주시,제25회 원주한지문화제,05.05.~05.14.,원주한지개발원,1999,230,0,230.0,0.0,특산물,사단법인,26.0,26.0,0.0,원주한지테마파크 일원,혼합형
2023,강원도,원주시,제16회 용수골꽃양귀비축제,05.23.~06.11.,용수골꽃양귀비축제추진위원회,2008,85,0,20.0,65.0,생태자연,축제조직위원회,0.0,0.0,0.0,용수골꽃농장,대면
2023,강원도,원주시,제21회 장미축제,05.30.~06.01.,장미축제위원회,1999,55,0,10.0,45.0,생태자연,축제조직위원회,61.0,61.0,0.0,장미공원,대면
2023,강원도,원주시,제13회 남한강축제,07.29.~07.30.,남한강축제위원회,2008,15,0,10.0,5.0,생태자연,축제조직위원회,0.0,0.0,0.0,법천소공원,대면
2023,강원도,원주시,치악산찰옥수수축제,7월 중,문막농업협동조합,2012,100,0,20.0,80.0,특산물,농업인단체,0.0,0.0,0.0,문막체육공원,대면
2023,강원도,원주시,치악산복숭아축제,8월 중,치악산복숭아원주시협의회,1999,35,0,30.0,5.0,특산물,농업인단체,5.0,5.0,0.0,댄싱공연장 일원,대면
